flask,ph,seconds,species
p_h_7_6_4,7.416141357,0,nanno
p_h_8_2_7,7.871004639,0,nanno
p_h_8_2_5,8.012955322,0,nanno
p_h_7_6_6,7.424656982,0,nanno
p_h_7_6_4,7.430026855,60,nanno
p_h_8_2_7,7.881685791,60,nanno
p_h_8_2_5,8.027908936,60,nanno
p_h_7_6_6,7.43854248,60,nanno
p_h_7_6_4,7.432163086,120,nanno
p_h_8_2_7,7.880617676,120,nanno
p_h_8_2_5,8.028977051,120,nanno
p_h_7_6_6,7.437474365,120,nanno
p_h_7_6_4,7.433231201,180,nanno
p_h_8_2_7,7.878481445,180,nanno
p_h_8_2_5,8.030045166,180,nanno
p_h_7_6_6,7.435338135,180,nanno
p_h_7_6_4,7.434299316,240,nanno
p_h_8_2_7,7.878481445,240,nanno
p_h_8_2_5,8.031113281,240,nanno
p_h_7_6_6,7.432133789,240,nanno
p_h_7_6_4,7.435367432,300,nanno
p_h_8_2_7,7.87741333,300,nanno
p_h_8_2_5,8.031113281,300,nanno
p_h_7_6_6,7.431065674,300,nanno
p_h_7_6_4,7.436435547,360,nanno
p_h_8_2_7,7.876345215,360,nanno
p_h_8_2_5,8.031113281,360,nanno
p_h_7_6_6,7.431065674,360,nanno
p_h_7_6_4,7.437503662,420,nanno
p_h_8_2_7,7.8752771,420,nanno
p_h_8_2_5,8.031113281,420,nanno
p_h_7_6_6,7.429997559,420,nanno
p_h_7_6_4,7.438571777,480,nanno
p_h_8_2_7,7.8752771,480,nanno
p_h_8_2_5,8.032181396,480,nanno
p_h_7_6_6,7.431065674,480,nanno
p_h_7_6_4,7.439639893,540,nanno
p_h_8_2_7,7.874208984,540,nanno
p_h_8_2_5,8.008682861,540,nanno
p_h_7_6_6,7.431065674,540,nanno
p_h_7_6_4,7.440708008,600,nanno
p_h_8_2_7,7.873140869,600,nanno
p_h_8_2_5,8.003342285,600,nanno
p_h_7_6_6,7.431065674,600,nanno
p_h_7_6_4,7.441776123,660,nanno
p_h_8_2_7,7.872072754,660,nanno
p_h_8_2_5,8.019364014,660,nanno
p_h_7_6_6,7.431065674,660,nanno
p_h_7_6_4,7.442844238,720,nanno
p_h_8_2_7,7.871004639,720,nanno
p_h_8_2_5,8.02470459,720,nanno
p_h_7_6_6,7.431065674,720,nanno
p_h_7_6_4,7.443912354,780,nanno
p_h_8_2_7,7.865664063,780,nanno
p_h_8_2_5,8.025772705,780,nanno
p_h_7_6_6,7.429997559,780,nanno
p_h_7_6_4,7.444980469,840,nanno
p_h_8_2_7,7.864595947,840,nanno
p_h_8_2_5,8.027908936,840,nanno
p_h_7_6_6,7.429997559,840,nanno
p_h_7_6_4,7.447116699,900,nanno
p_h_8_2_7,7.866732178,900,nanno
p_h_8_2_5,8.027908936,900,nanno
p_h_7_6_6,7.432133789,900,nanno
p_h_7_6_4,7.44925293,960,nanno
p_h_8_2_7,7.868868408,960,nanno
p_h_8_2_5,8.028977051,960,nanno
p_h_7_6_6,7.43427002,960,nanno
p_h_7_6_4,7.452457275,1020,nanno
p_h_8_2_7,7.869936523,1020,nanno
p_h_8_2_5,8.030045166,1020,nanno
p_h_7_6_6,7.43854248,1020,nanno
p_h_7_6_4,7.455661621,1080,nanno
p_h_8_2_7,7.872072754,1080,nanno
p_h_8_2_5,8.030045166,1080,nanno
p_h_7_6_6,7.441746826,1080,nanno
p_h_7_6_4,7.458865967,1140,nanno
p_h_8_2_7,7.8752771,1140,nanno
p_h_8_2_5,8.031113281,1140,nanno
p_h_7_6_6,7.444951172,1140,nanno
p_h_7_6_4,7.462070313,1200,nanno
p_h_8_2_7,7.878481445,1200,nanno
p_h_8_2_5,8.031113281,1200,nanno
p_h_7_6_6,7.449223633,1200,nanno
p_h_7_6_4,7.465274658,1260,nanno
p_h_8_2_7,7.887026367,1260,nanno
p_h_8_2_5,8.032181396,1260,nanno
p_h_7_6_6,7.454564209,1260,nanno
p_h_7_6_4,7.467410889,1320,nanno
p_h_8_2_7,7.883822021,1320,nanno
p_h_8_2_5,8.032181396,1320,nanno
p_h_7_6_6,7.456700439,1320,nanno
p_h_7_6_4,7.468479004,1380,nanno
p_h_8_2_7,7.880617676,1380,nanno
p_h_8_2_5,8.031113281,1380,nanno
p_h_7_6_6,7.45883667,1380,nanno
p_h_7_6_4,7.469547119,1440,nanno
p_h_8_2_7,7.87741333,1440,nanno
p_h_8_2_5,8.031113281,1440,nanno
p_h_7_6_6,7.45883667,1440,nanno
p_h_7_6_4,7.470615234,1500,nanno
p_h_8_2_7,7.876345215,1500,nanno
p_h_8_2_5,8.031113281,1500,nanno
p_h_7_6_6,7.45883667,1500,nanno
p_h_7_6_4,7.470615234,1560,nanno
p_h_8_2_7,7.873140869,1560,nanno
p_h_8_2_5,8.031113281,1560,nanno
p_h_7_6_6,7.45883667,1560,nanno
p_h_7_6_4,7.47168335,1620,nanno
p_h_8_2_7,7.872072754,1620,nanno
p_h_8_2_5,8.030045166,1620,nanno
p_h_7_6_6,7.459904785,1620,nanno
p_h_7_6_4,7.472751465,1680,nanno
p_h_8_2_7,7.869936523,1680,nanno
p_h_8_2_5,8.030045166,1680,nanno
p_h_7_6_6,7.459904785,1680,nanno
p_h_7_6_4,7.472751465,1740,nanno
p_h_8_2_7,7.868868408,1740,nanno
p_h_8_2_5,8.030045166,1740,nanno
p_h_7_6_6,7.459904785,1740,nanno
p_h_7_6_4,7.47381958,1800,nanno
p_h_8_2_7,7.867800293,1800,nanno
p_h_8_2_5,8.030045166,1800,nanno
p_h_7_6_6,7.4609729,1800,nanno
p_h_7_6_4,7.474887695,1860,nanno
p_h_8_2_7,7.866732178,1860,nanno
p_h_8_2_5,8.030045166,1860,nanno
p_h_7_6_6,7.4609729,1860,nanno
p_h_7_6_4,7.475955811,1920,nanno
p_h_8_2_7,7.865664063,1920,nanno
p_h_8_2_5,8.028977051,1920,nanno
p_h_7_6_6,7.462041016,1920,nanno
p_h_7_6_4,7.477023926,1980,nanno
p_h_8_2_7,7.864595947,1980,nanno
p_h_8_2_5,8.028977051,1980,nanno
p_h_7_6_6,7.462041016,1980,nanno
p_h_7_6_4,7.477023926,2040,nanno
p_h_8_2_7,7.863527832,2040,nanno
p_h_8_2_5,8.028977051,2040,nanno
p_h_7_6_6,7.463109131,2040,nanno
p_h_7_6_4,7.478092041,2100,nanno
p_h_8_2_7,7.862459717,2100,nanno
p_h_8_2_5,8.027908936,2100,nanno
p_h_7_6_6,7.463109131,2100,nanno
p_h_7_6_4,7.479160156,2160,nanno
p_h_8_2_7,7.860323486,2160,nanno
p_h_8_2_5,8.027908936,2160,nanno
p_h_7_6_6,7.463109131,2160,nanno
p_h_7_6_4,7.480228271,2220,nanno
p_h_8_2_7,7.85498291,2220,nanno
p_h_8_2_5,8.02684082,2220,nanno
p_h_7_6_6,7.463109131,2220,nanno
p_h_7_6_4,7.481296387,2280,nanno
p_h_8_2_7,7.857119141,2280,nanno
p_h_8_2_5,8.02684082,2280,nanno
p_h_7_6_6,7.463109131,2280,nanno
p_h_7_6_4,7.483432617,2340,nanno
p_h_8_2_7,7.857119141,2340,nanno
p_h_8_2_5,8.02684082,2340,nanno
p_h_7_6_6,7.465245361,2340,nanno
p_h_7_6_4,7.485568848,2400,nanno
p_h_8_2_7,7.860323486,2400,nanno
p_h_8_2_5,8.027908936,2400,nanno
p_h_7_6_6,7.468449707,2400,nanno
p_h_7_6_4,7.488773193,2460,nanno
p_h_8_2_7,7.861391602,2460,nanno
p_h_8_2_5,8.027908936,2460,nanno
p_h_7_6_6,7.471654053,2460,nanno
p_h_7_6_4,7.490909424,2520,nanno
p_h_8_2_7,7.864595947,2520,nanno
p_h_8_2_5,8.027908936,2520,nanno
p_h_7_6_6,7.474858398,2520,nanno
p_h_7_6_4,7.49411377,2580,nanno
p_h_8_2_7,7.866732178,2580,nanno
p_h_8_2_5,8.027908936,2580,nanno
p_h_7_6_6,7.478062744,2580,nanno
p_h_7_6_4,7.497318115,2640,nanno
p_h_8_2_7,7.872072754,2640,nanno
p_h_8_2_5,8.027908936,2640,nanno
p_h_7_6_6,7.482335205,2640,nanno
p_h_7_6_4,7.49838623,2700,nanno
p_h_8_2_7,7.871004639,2700,nanno
p_h_8_2_5,8.02684082,2700,nanno
p_h_7_6_6,7.48340332,2700,nanno
p_h_7_6_4,7.500522461,2760,nanno
p_h_8_2_7,7.874208984,2760,nanno
p_h_8_2_5,8.027908936,2760,nanno
p_h_7_6_6,7.487675781,2760,nanno
p_h_7_6_4,7.501590576,2820,nanno
p_h_8_2_7,7.873140869,2820,nanno
p_h_8_2_5,8.027908936,2820,nanno
p_h_7_6_6,7.489812012,2820,nanno
p_h_7_6_4,7.502658691,2880,nanno
p_h_8_2_7,7.871004639,2880,nanno
p_h_8_2_5,8.02684082,2880,nanno
p_h_7_6_6,7.488743896,2880,nanno
p_h_7_6_4,7.502658691,2940,nanno
p_h_8_2_7,7.869936523,2940,nanno
p_h_8_2_5,8.02684082,2940,nanno
p_h_7_6_6,7.489812012,2940,nanno
p_h_7_6_4,7.503726807,3000,nanno
p_h_8_2_7,7.869936523,3000,nanno
p_h_8_2_5,8.02684082,3000,nanno
p_h_7_6_6,7.490880127,3000,nanno
p_h_7_6_4,7.504794922,3060,nanno
p_h_8_2_7,7.871004639,3060,nanno
p_h_8_2_5,8.02684082,3060,nanno
p_h_7_6_6,7.491948242,3060,nanno
p_h_7_6_4,7.506931152,3120,nanno
p_h_8_2_7,7.876345215,3120,nanno
p_h_8_2_5,8.027908936,3120,nanno
p_h_7_6_6,7.495152588,3120,nanno
p_h_7_6_4,7.506931152,3180,nanno
p_h_8_2_7,7.872072754,3180,nanno
p_h_8_2_5,8.02684082,3180,nanno
p_h_7_6_6,7.494084473,3180,nanno
p_h_7_6_4,7.507999268,3240,nanno
p_h_8_2_7,7.868868408,3240,nanno
p_h_8_2_5,8.02684082,3240,nanno
p_h_7_6_6,7.494084473,3240,nanno
p_h_7_6_4,7.507999268,3300,nanno
p_h_8_2_7,7.866732178,3300,nanno
p_h_8_2_5,8.025772705,3300,nanno
p_h_7_6_6,7.493016357,3300,nanno
p_h_7_6_4,7.509067383,3360,nanno
p_h_8_2_7,7.864595947,3360,nanno
p_h_8_2_5,8.025772705,3360,nanno
p_h_7_6_6,7.493016357,3360,nanno
p_h_7_6_4,7.510135498,3420,nanno
p_h_8_2_7,7.863527832,3420,nanno
p_h_8_2_5,8.025772705,3420,nanno
p_h_7_6_6,7.493016357,3420,nanno
p_h_7_6_4,7.510135498,3480,nanno
p_h_8_2_7,7.861391602,3480,nanno
p_h_8_2_5,8.02470459,3480,nanno
p_h_7_6_6,7.493016357,3480,nanno
p_h_7_6_4,7.511203613,3540,nanno
